path,data_role,voice_fake,voice_present,source,generator,voice_fake_score
data\raw\openslr_librispeech_asr\librispeech_dev_1988-148538-0012.flac,train,0,1,librispeech_dev,LibriSpeech,0.7342979311943054
data\raw\openslr_librispeech_asr\librispeech_dev_3536-23268-0007.flac,train,0,1,librispeech_dev,LibriSpeech,0.699720561504364
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93302-0006.flac,train,0,1,librispeech_dev,LibriSpeech,0.7316029667854309
data\raw\openslr_librispeech_asr\librispeech_dev_84-121123-0017.flac,train,0,1,librispeech_dev,LibriSpeech,0.7142173051834106
data\raw\openslr_librispeech_asr\librispeech_dev_6319-57405-0003.flac,train,0,1,librispeech_dev,LibriSpeech,0.6828922629356384
data\raw\openslr_librispeech_asr\librispeech_dev_3576-138058-0005.flac,train,0,1,librispeech_dev,LibriSpeech,0.7124402523040771
data\raw\openslr_librispeech_asr\librispeech_dev_5338-24615-0010.flac,train,0,1,librispeech_dev,LibriSpeech,0.7159124612808228
data\raw\openslr_librispeech_asr\librispeech_dev_84-121550-0027.flac,train,0,1,librispeech_dev,LibriSpeech,0.7090824246406555
data\raw\openslr_librispeech_asr\librispeech_dev_3853-163249-0054.flac,train,0,1,librispeech_dev,LibriSpeech,0.6955797672271729
data\raw\openslr_librispeech_asr\librispeech_dev_3853-163249-0004.flac,train,0,1,librispeech_dev,LibriSpeech,0.6960098743438721
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93306-0000.flac,train,0,1,librispeech_dev,LibriSpeech,0.7319019436836243
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0019.flac,train,0,1,librispeech_dev,LibriSpeech,0.6918026208877563
data\raw\openslr_librispeech_asr\librispeech_dev_1673-143397-0004.flac,train,0,1,librispeech_dev,LibriSpeech,0.7216227650642395
data\raw\openslr_librispeech_asr\librispeech_dev_3536-8226-0001.flac,train,0,1,librispeech_dev,LibriSpeech,0.7065845727920532
data\raw\openslr_librispeech_asr\librispeech_dev_652-129742-0016.flac,train,0,1,librispeech_dev,LibriSpeech,0.7085047960281372
data\raw\openslr_librispeech_asr\librispeech_dev_2803-154328-0009.flac,train,0,1,librispeech_dev,LibriSpeech,0.6885402798652649
data\raw\openslr_librispeech_asr\librispeech_dev_652-129742-0003.flac,train,0,1,librispeech_dev,LibriSpeech,0.7045394778251648
data\raw\openslr_librispeech_asr\librispeech_dev_652-130737-0001.flac,train,0,1,librispeech_dev,LibriSpeech,0.7073003649711609
data\raw\openslr_librispeech_asr\librispeech_dev_5338-24615-0009.flac,train,0,1,librispeech_dev,LibriSpeech,0.710069477558136
data\raw\openslr_librispeech_asr\librispeech_dev_3853-163249-0053.flac,train,0,1,librispeech_dev,LibriSpeech,0.6951936483383179
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64025-0010.flac,train,0,1,librispeech_dev,LibriSpeech,0.7079809904098511
data\raw\openslr_librispeech_asr\librispeech_dev_5338-284437-0007.flac,train,0,1,librispeech_dev,LibriSpeech,0.7027549147605896
data\raw\openslr_librispeech_asr\librispeech_dev_8297-275155-0028.flac,train,0,1,librispeech_dev,LibriSpeech,0.717768132686615
data\raw\openslr_librispeech_asr\librispeech_dev_3536-8226-0014.flac,train,0,1,librispeech_dev,LibriSpeech,0.710106372833252
data\raw\openslr_librispeech_asr\librispeech_dev_7976-110124-0010.flac,train,0,1,librispeech_dev,LibriSpeech,0.7345860004425049
data\raw\openslr_librispeech_asr\librispeech_dev_84-121123-0021.flac,train,0,1,librispeech_dev,LibriSpeech,0.7169402241706848
data\raw\openslr_librispeech_asr\librispeech_dev_84-121123-0025.flac,train,0,1,librispeech_dev,LibriSpeech,0.7001016139984131
data\raw\openslr_librispeech_asr\librispeech_dev_251-118436-0008.flac,train,0,1,librispeech_dev,LibriSpeech,0.7150575518608093
data\raw\openslr_librispeech_asr\librispeech_dev_1988-147956-0014.flac,train,0,1,librispeech_dev,LibriSpeech,0.7114742398262024
data\raw\openslr_librispeech_asr\librispeech_dev_7976-105575-0004.flac,train,0,1,librispeech_dev,LibriSpeech,0.7205772995948792
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34622-0003.flac,train,0,1,librispeech_dev,LibriSpeech,0.6961508393287659
data\raw\openslr_librispeech_asr\librispeech_dev_251-118436-0012.flac,train,0,1,librispeech_dev,LibriSpeech,0.7124578356742859
data\raw\openslr_librispeech_asr\librispeech_dev_6319-275224-0020.flac,train,0,1,librispeech_dev,LibriSpeech,0.7233908176422119
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34629-0010.flac,train,0,1,librispeech_dev,LibriSpeech,0.7187278270721436
data\raw\openslr_librispeech_asr\librispeech_dev_5338-284437-0033.flac,train,0,1,librispeech_dev,LibriSpeech,0.7210827469825745
data\raw\openslr_librispeech_asr\librispeech_dev_8297-275155-0017.flac,train,0,1,librispeech_dev,LibriSpeech,0.7215736508369446
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93302-0023.flac,train,0,1,librispeech_dev,LibriSpeech,0.7319996953010559
data\raw\openslr_librispeech_asr\librispeech_dev_84-121550-0020.flac,train,0,1,librispeech_dev,LibriSpeech,0.7192239165306091
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34629-0023.flac,train,0,1,librispeech_dev,LibriSpeech,0.7047109007835388
data\raw\openslr_librispeech_asr\librispeech_dev_2412-153954-0006.flac,train,0,1,librispeech_dev,LibriSpeech,0.7215887308120728
data\raw\openslr_librispeech_asr\librispeech_dev_3536-23268-0016.flac,train,0,1,librispeech_dev,LibriSpeech,0.6973630785942078
data\raw\openslr_librispeech_asr\librispeech_dev_2803-154328-0021.flac,train,0,1,librispeech_dev,LibriSpeech,0.6980116963386536
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64029-0022.flac,train,0,1,librispeech_dev,LibriSpeech,0.7123287916183472
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34622-0000.flac,train,0,1,librispeech_dev,LibriSpeech,0.6950269937515259
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0019.flac,train,0,1,librispeech_dev,LibriSpeech,0.6893680095672607
data\raw\openslr_librispeech_asr\librispeech_dev_2412-153948-0002.flac,train,0,1,librispeech_dev,LibriSpeech,0.695963978767395
data\raw\openslr_librispeech_asr\librispeech_dev_3536-23268-0010.flac,train,0,1,librispeech_dev,LibriSpeech,0.7085221409797668
data\raw\openslr_librispeech_asr\librispeech_dev_3576-138058-0037.flac,train,0,1,librispeech_dev,LibriSpeech,0.6934387683868408
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93302-0012.flac,train,0,1,librispeech_dev,LibriSpeech,0.7245185971260071
data\raw\openslr_librispeech_asr\librispeech_dev_2902-9008-0014.flac,train,0,1,librispeech_dev,LibriSpeech,0.710902750492096
data\raw\openslr_librispeech_asr\librispeech_dev_2902-9006-0015.flac,train,0,1,librispeech_dev,LibriSpeech,0.7063332796096802
data\raw\openslr_librispeech_asr\librispeech_dev_3536-23268-0012.flac,train,0,1,librispeech_dev,LibriSpeech,0.6993871927261353
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0037.flac,train,0,1,librispeech_dev,LibriSpeech,0.67472904920578
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0045.flac,train,0,1,librispeech_dev,LibriSpeech,0.679595410823822
data\raw\openslr_librispeech_asr\librispeech_dev_3853-163249-0042.flac,train,0,1,librispeech_dev,LibriSpeech,0.6968895792961121
data\raw\openslr_librispeech_asr\librispeech_dev_1673-143396-0009.flac,train,0,1,librispeech_dev,LibriSpeech,0.718699038028717
data\raw\openslr_librispeech_asr\librispeech_dev_3576-138058-0035.flac,train,0,1,librispeech_dev,LibriSpeech,0.6839576363563538
data\raw\openslr_librispeech_asr\librispeech_dev_422-122949-0033.flac,train,0,1,librispeech_dev,LibriSpeech,0.689369261264801
data\raw\openslr_librispeech_asr\librispeech_dev_84-121550-0028.flac,train,0,1,librispeech_dev,LibriSpeech,0.7172121405601501
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0023.flac,train,0,1,librispeech_dev,LibriSpeech,0.6841339468955994
data\raw\openslr_librispeech_asr\librispeech_dev_652-129742-0019.flac,train,0,1,librispeech_dev,LibriSpeech,0.7076309323310852
data\raw\openslr_librispeech_asr\librispeech_dev_84-121550-0004.flac,train,0,1,librispeech_dev,LibriSpeech,0.7122676968574524
data\raw\openslr_librispeech_asr\librispeech_dev_3536-23268-0015.flac,train,0,1,librispeech_dev,LibriSpeech,0.6958281993865967
data\raw\openslr_librispeech_asr\librispeech_dev_3853-163249-0021.flac,train,0,1,librispeech_dev,LibriSpeech,0.691839873790741
data\raw\openslr_librispeech_asr\librispeech_dev_2803-161169-0000.flac,train,0,1,librispeech_dev,LibriSpeech,0.6950873732566833
data\raw\openslr_librispeech_asr\librispeech_dev_422-122949-0007.flac,train,0,1,librispeech_dev,LibriSpeech,0.6935558915138245
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0009.flac,train,0,1,librispeech_dev,LibriSpeech,0.679952085018158
data\raw\openslr_librispeech_asr\librispeech_dev_251-136532-0000.flac,train,0,1,librispeech_dev,LibriSpeech,0.7266817688941956
data\raw\openslr_librispeech_asr\librispeech_dev_2803-154328-0020.flac,train,0,1,librispeech_dev,LibriSpeech,0.7108164429664612
data\raw\openslr_librispeech_asr\librispeech_dev_84-121550-0019.flac,train,0,1,librispeech_dev,LibriSpeech,0.7263471484184265
data\raw\openslr_librispeech_asr\librispeech_dev_1673-143396-0017.flac,train,0,1,librispeech_dev,LibriSpeech,0.7159528136253357
data\raw\openslr_librispeech_asr\librispeech_dev_2902-9008-0007.flac,train,0,1,librispeech_dev,LibriSpeech,0.7099125981330872
data\raw\openslr_librispeech_asr\librispeech_dev_251-137823-0018.flac,train,0,1,librispeech_dev,LibriSpeech,0.7310243844985962
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64038-0021.flac,train,0,1,librispeech_dev,LibriSpeech,0.7446106672286987
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34629-0001.flac,train,0,1,librispeech_dev,LibriSpeech,0.728826642036438
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0071.flac,train,0,1,librispeech_dev,LibriSpeech,0.6984947919845581
data\raw\openslr_librispeech_asr\librispeech_dev_8297-275154-0002.flac,train,0,1,librispeech_dev,LibriSpeech,0.7415717840194702
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34622-0021.flac,train,0,1,librispeech_dev,LibriSpeech,0.7254481315612793
data\raw\openslr_librispeech_asr\librispeech_dev_652-130737-0012.flac,train,0,1,librispeech_dev,LibriSpeech,0.7138835191726685
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64029-0023.flac,train,0,1,librispeech_dev,LibriSpeech,0.7272621989250183
data\raw\openslr_librispeech_asr\librispeech_dev_1988-24833-0016.flac,train,0,1,librispeech_dev,LibriSpeech,0.7457342743873596
data\raw\openslr_librispeech_asr\librispeech_dev_2902-9008-0004.flac,train,0,1,librispeech_dev,LibriSpeech,0.7211445569992065
data\raw\openslr_librispeech_asr\librispeech_dev_1988-24833-0003.flac,train,0,1,librispeech_dev,LibriSpeech,0.7273733615875244
data\raw\openslr_librispeech_asr\librispeech_dev_1673-143396-0003.flac,train,0,1,librispeech_dev,LibriSpeech,0.7209221124649048
data\raw\openslr_librispeech_asr\librispeech_dev_5338-284437-0026.flac,train,0,1,librispeech_dev,LibriSpeech,0.7069297432899475
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64029-0007.flac,train,0,1,librispeech_dev,LibriSpeech,0.70743727684021
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64038-0007.flac,train,0,1,librispeech_dev,LibriSpeech,0.7591985464096069
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0042.flac,train,0,1,librispeech_dev,LibriSpeech,0.7070072293281555
data\raw\openslr_librispeech_asr\librispeech_dev_652-130726-0002.flac,train,0,1,librispeech_dev,LibriSpeech,0.7127507328987122
data\raw\openslr_librispeech_asr\librispeech_dev_2902-9006-0018.flac,train,0,1,librispeech_dev,LibriSpeech,0.7048507332801819
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34629-0020.flac,train,0,1,librispeech_dev,LibriSpeech,0.7292528748512268
data\raw\openslr_librispeech_asr\librispeech_dev_1988-147956-0025.flac,train,0,1,librispeech_dev,LibriSpeech,0.7275387644767761
data\raw\openslr_librispeech_asr\librispeech_dev_7976-110124-0021.flac,train,0,1,librispeech_dev,LibriSpeech,0.7437160015106201
data\raw\openslr_librispeech_asr\librispeech_dev_3536-8226-0017.flac,train,0,1,librispeech_dev,LibriSpeech,0.720855712890625
data\raw\openslr_librispeech_asr\librispeech_dev_2412-153948-0001.flac,train,0,1,librispeech_dev,LibriSpeech,0.7054834961891174
data\raw\openslr_librispeech_asr\librispeech_dev_251-137823-0010.flac,train,0,1,librispeech_dev,LibriSpeech,0.7177668809890747
data\raw\openslr_librispeech_asr\librispeech_dev_3536-8226-0032.flac,train,0,1,librispeech_dev,LibriSpeech,0.7122117877006531
data\raw\openslr_librispeech_asr\librispeech_dev_652-130737-0004.flac,train,0,1,librispeech_dev,LibriSpeech,0.7032749652862549
data\raw\openslr_librispeech_asr\librispeech_dev_2412-153954-0019.flac,train,0,1,librispeech_dev,LibriSpeech,0.714655876159668
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64025-0011.flac,train,0,1,librispeech_dev,LibriSpeech,0.6966310143470764
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0023.flac,train,0,1,librispeech_dev,LibriSpeech,0.7107829451560974
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34622-0002.flac,train,0,1,librispeech_dev,LibriSpeech,0.7007192373275757
data\raw\openslr_librispeech_asr\librispeech_dev_251-136532-0020.flac,train,0,1,librispeech_dev,LibriSpeech,0.7456069588661194
data\raw\openslr_librispeech_asr\librispeech_dev_1988-148538-0007.flac,train,0,1,librispeech_dev,LibriSpeech,0.7389474511146545
data\raw\openslr_librispeech_asr\librispeech_dev_251-136532-0018.flac,train,0,1,librispeech_dev,LibriSpeech,0.7078072428703308
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0053.flac,train,0,1,librispeech_dev,LibriSpeech,0.7049441337585449
data\raw\openslr_librispeech_asr\librispeech_dev_652-129742-0005.flac,train,0,1,librispeech_dev,LibriSpeech,0.7186136841773987
data\raw\openslr_librispeech_asr\librispeech_dev_2803-161169-0006.flac,train,0,1,librispeech_dev,LibriSpeech,0.7044869661331177
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0002.flac,train,0,1,librispeech_dev,LibriSpeech,0.7011696696281433
data\raw\openslr_librispeech_asr\librispeech_dev_1673-143397-0009.flac,train,0,1,librispeech_dev,LibriSpeech,0.717242419719696
data\raw\openslr_librispeech_asr\librispeech_dev_2412-153948-0000.flac,train,0,1,librispeech_dev,LibriSpeech,0.7084425091743469
data\raw\openslr_librispeech_asr\librispeech_dev_652-130726-0016.flac,train,0,1,librispeech_dev,LibriSpeech,0.7039209008216858
data\raw\openslr_librispeech_asr\librispeech_dev_652-130726-0009.flac,train,0,1,librispeech_dev,LibriSpeech,0.7157321572303772
data\raw\openslr_librispeech_asr\librispeech_dev_652-129742-0006.flac,train,0,1,librispeech_dev,LibriSpeech,0.7134749889373779
data\raw\openslr_librispeech_asr\librispeech_dev_7976-105575-0013.flac,train,0,1,librispeech_dev,LibriSpeech,0.7309674024581909
data\raw\openslr_librispeech_asr\librispeech_dev_3536-23268-0025.flac,train,0,1,librispeech_dev,LibriSpeech,0.702518880367279
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34629-0014.flac,train,0,1,librispeech_dev,LibriSpeech,0.7475216388702393
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93306-0009.flac,train,0,1,librispeech_dev,LibriSpeech,0.7539704442024231
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34622-0006.flac,train,0,1,librispeech_dev,LibriSpeech,0.6962936520576477
data\raw\openslr_librispeech_asr\librispeech_dev_422-122949-0029.flac,train,0,1,librispeech_dev,LibriSpeech,0.7113716006278992
data\raw\openslr_librispeech_asr\librispeech_dev_84-121550-0009.flac,train,0,1,librispeech_dev,LibriSpeech,0.7160576581954956
data\raw\openslr_librispeech_asr\librispeech_dev_251-136532-0019.flac,train,0,1,librispeech_dev,LibriSpeech,0.7155730128288269
data\raw\openslr_librispeech_asr\librispeech_dev_1988-147956-0026.flac,train,0,1,librispeech_dev,LibriSpeech,0.7000641226768494
data\raw\openslr_librispeech_asr\librispeech_dev_7976-105575-0029.flac,train,0,1,librispeech_dev,LibriSpeech,0.732907772064209
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64029-0014.flac,train,0,1,librispeech_dev,LibriSpeech,0.7483091950416565
data\raw\openslr_librispeech_asr\librispeech_dev_1673-143397-0012.flac,train,0,1,librispeech_dev,LibriSpeech,0.7199649810791016
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34615-0005.flac,train,0,1,librispeech_dev,LibriSpeech,0.7340093851089478
data\raw\openslr_librispeech_asr\librispeech_dev_1988-148538-0008.flac,train,0,1,librispeech_dev,LibriSpeech,0.7537351846694946
data\raw\openslr_librispeech_asr\librispeech_dev_84-121123-0001.flac,train,0,1,librispeech_dev,LibriSpeech,0.7182393074035645
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0030.flac,train,0,1,librispeech_dev,LibriSpeech,0.7016326785087585
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0044.flac,train,0,1,librispeech_dev,LibriSpeech,0.6938120722770691
data\raw\openslr_librispeech_asr\librispeech_dev_84-121123-0024.flac,train,0,1,librispeech_dev,LibriSpeech,0.7239156365394592
data\raw\openslr_librispeech_asr\librispeech_dev_2412-153954-0001.flac,train,0,1,librispeech_dev,LibriSpeech,0.7399119734764099
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34629-0022.flac,train,0,1,librispeech_dev,LibriSpeech,0.7094739079475403
data\raw\openslr_librispeech_asr\librispeech_dev_251-136532-0001.flac,train,0,1,librispeech_dev,LibriSpeech,0.7305282354354858
data\raw\openslr_librispeech_asr\librispeech_dev_1988-24833-0025.flac,train,0,1,librispeech_dev,LibriSpeech,0.7427978515625
data\raw\openslr_librispeech_asr\librispeech_dev_6319-275224-0009.flac,train,0,1,librispeech_dev,LibriSpeech,0.7262548208236694
data\raw\openslr_librispeech_asr\librispeech_dev_3536-23268-0028.flac,train,0,1,librispeech_dev,LibriSpeech,0.7062581181526184
data\raw\openslr_librispeech_asr\librispeech_dev_5338-24640-0002.flac,train,0,1,librispeech_dev,LibriSpeech,0.7353975176811218
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64025-0014.flac,train,0,1,librispeech_dev,LibriSpeech,0.7137357592582703
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93306-0018.flac,train,0,1,librispeech_dev,LibriSpeech,0.7594375610351562
data\raw\openslr_librispeech_asr\librispeech_dev_422-122949-0021.flac,train,0,1,librispeech_dev,LibriSpeech,0.6967642903327942
data\raw\openslr_librispeech_asr\librispeech_dev_652-130726-0013.flac,train,0,1,librispeech_dev,LibriSpeech,0.7195003032684326
data\raw\openslr_librispeech_asr\librispeech_dev_8297-275154-0009.flac,train,0,1,librispeech_dev,LibriSpeech,0.7581165432929993
data\raw\openslr_librispeech_asr\librispeech_dev_5338-24615-0012.flac,train,0,1,librispeech_dev,LibriSpeech,0.7169288396835327
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0021.flac,train,0,1,librispeech_dev,LibriSpeech,0.699082612991333
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34615-0000.flac,train,0,1,librispeech_dev,LibriSpeech,0.708807647228241
data\raw\openslr_librispeech_asr\librispeech_dev_1673-143397-0006.flac,train,0,1,librispeech_dev,LibriSpeech,0.7208336591720581
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0039.flac,train,0,1,librispeech_dev,LibriSpeech,0.6920765042304993
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0041.flac,train,0,1,librispeech_dev,LibriSpeech,0.7180202007293701
data\raw\openslr_librispeech_asr\librispeech_dev_422-122949-0011.flac,train,0,1,librispeech_dev,LibriSpeech,0.7016267776489258
data\raw\openslr_librispeech_asr\librispeech_dev_2412-153947-0001.flac,train,0,1,librispeech_dev,LibriSpeech,0.7161133289337158
data\raw\openslr_librispeech_asr\librispeech_dev_1988-24833-0014.flac,train,0,1,librispeech_dev,LibriSpeech,0.7354686260223389
data\raw\openslr_librispeech_asr\librispeech_dev_84-121123-0008.flac,train,0,1,librispeech_dev,LibriSpeech,0.7127353549003601
data\raw\openslr_librispeech_asr\librispeech_dev_5895-34629-0013.flac,train,0,1,librispeech_dev,LibriSpeech,0.7113310098648071
data\raw\openslr_librispeech_asr\librispeech_dev_7976-110124-0005.flac,train,0,1,librispeech_dev,LibriSpeech,0.734407901763916
data\raw\openslr_librispeech_asr\librispeech_dev_1673-143397-0003.flac,train,0,1,librispeech_dev,LibriSpeech,0.7105950117111206
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64025-0005.flac,train,0,1,librispeech_dev,LibriSpeech,0.7104914784431458
data\raw\openslr_librispeech_asr\librispeech_dev_8297-275155-0008.flac,train,0,1,librispeech_dev,LibriSpeech,0.7346078753471375
data\raw\openslr_librispeech_asr\librispeech_dev_652-130726-0034.flac,train,0,1,librispeech_dev,LibriSpeech,0.6975585222244263
